x,y
3,3481
3,7770
4,3143
4,8108
5,2474
5,8777
7,1228
7,10023
9,919
9,10332
10,4524
10,6727
13,895
13,10356
14,889
14,10362
15,4402
15,6849
16,730
16,10521
18,360
18,10891
19,3377
19,7874
21,2824
21,8427
25,1603
25,9648
26,3538
26,7713
28,3625
28,7626
29,1701
29,9550
31,3718
31,7533
32,4138
32,7113
33,1512
33,9739
36,3478
36,7773
38,948
38,10303
39,4045
39,7206
51,4967
51,6284
52,3579
52,7672
55,2615
55,8636
56,5268
56,5983
57,72
57,11179
59,593
59,10658
61,189
61,11062
64,4770
64,6481
66,4590
66,6661
69,744
69,10507
70,2950
70,8301
74,5294
74,5957
75,623
75,10628
81,2370
81,8881
82,2766
82,8485
83,1615
83,9636
85,2115
85,9136
88,1095
88,10156
91,2856
91,8395
93,1860
93,9391
94,2824
94,8427
95,4825
95,6426
96,4815
96,6436
97,3883
97,7368
99,2915
99,8336
102,2823
102,8428
103,3411
103,7840
104,5486
104,5765
107,807
107,10444
108,868
108,10383
111,4969
111,6282
112,5121
112,6130
113,1910
113,9341
121,1460
121,9791
122,5512
122,5739
123,753
123,10498
124,845
124,10406
125,3192
125,8059
127,1470
127,9781
129,4061
129,7190
130,3816
130,7435
131,2810
131,8441
135,3347
135,7904
137,2582
137,8669
140,1906
140,9345
141,901
141,10350
142,975
142,10276
143,485
143,10766
144,4624
144,6627
146,2274
146,8977
148,3580
148,7671
150,5067
150,6184
153,1744
153,9507
156,2520
156,8731
157,4332
157,6919
160,2076
160,9175
161,4863
161,6388
162,2381
162,8870
163,5010
163,6241
166,2318
166,8933
167,4332
167,6919
169,3259
169,7992
172,4483
172,6768
173,355
173,10896
174,3249
174,8002
175,2793
175,8458
177,1849
177,9402
179,2554
179,8697
180,2791
180,8460
181,3152
181,8099
183,2147
183,9104
184,3957
184,7294
186,508
186,10743
187,1482
187,9769
189,26
189,11225
191,5084
191,6167
193,462
193,10789
198,1643
198,9608
200,3534
200,7717
202,547
202,10704
208,5089
208,6162
209,1216
209,10035
211,4740
211,6511
215,2315
215,8936
218,422
218,10829
219,3272
219,7979
220,2511
220,8740
223,2975
223,8276
226,5179
226,6072
227,4405
227,6846
228,197
228,11054
229,2787
229,8464
230,1202
230,10049
231,2072
231,9179
233,3841
233,7410
237,2377
237,8874
240,1975
240,9276
241,4199
241,7052
244,3932
244,7319
245,1133
245,10118
247,4688
247,6563
248,4794
248,6457
249,4947
249,6304
250,3799
250,7452
251,3579
251,7672
253,1553
253,9698
254,1115
254,10136
255,5400
255,5851
260,5065
260,6186
262,4334
262,6917
263,1903
263,9348
264,325
264,10926
265,862
265,10389
268,4432
268,6819
272,2274
272,8977
274,5591
274,5660
279,2684
279,8567
281,1077
281,10174
283,1811
283,9440
289,5471
289,5780
290,4355
290,6896
292,4161
292,7090
293,1975
293,9276
296,3848
296,7403
298,1029
298,10222
304,1371
304,9880
306,4481
306,6770
307,953
307,10298
308,1733
308,9518
311,2254
311,8997
312,3672
312,7579
313,73
313,11178
314,4040
314,7211
315,1684
315,9567
317,2663
317,8588
319,414
319,10837
323,2909
323,8342
324,1577
324,9674
326,3791
326,7460
327,1815
327,9436
330,1816
330,9435
334,4040
334,7211
335,5125
335,6126
336,3809
336,7442
342,5241
342,6010
345,569
345,10682
351,4308
351,6943
356,1936
356,9315
357,16
357,11235
358,320
358,10931
359,4913
359,6338
360,1594
360,9657
362,2827
362,8424
363,4763
363,6488
366,3718
366,7533
367,992
367,10259
369,5460
369,5791
370,4778
370,6473
371,1121
371,10130
372,4262
372,6989
373,4823
373,6428
375,4211
375,7040
378,556
378,10695
379,701
379,10550
381,1597
381,9654
384,725
384,10526
386,3417
386,7834
387,3192
387,8059
389,764
389,10487
390,2682
390,8569
391,1214
391,10037
392,2437
392,8814
393,590
393,10661
395,1422
395,9829
397,63
397,11188
398,4448
398,6803
401,1691
401,9560
402,4654
402,6597
403,1798
403,9453
404,813
404,10438
408,3272
408,7979
409,475
409,10776
410,4173
410,7078
411,3407
411,7844
413,1330
413,9921
416,2411
416,8840
418,5385
418,5866
419,4035
419,7216
420,1797
420,9454
421,843
421,10408
422,981
422,10270
428,5125
428,6126
429,73
429,11178
435,5448
435,5803
436,3482
436,7769
437,5581
437,5670
438,1417
438,9834
440,2882
440,8369
442,2421
442,8830
443,1455
443,9796
444,4717
444,6534
445,1119
445,10132
446,304
446,10947
448,3516
448,7735
449,2511
449,8740
452,4910
452,6341
454,4614
454,6637
455,4518
